dataset,model,feature,importance,signed_coef
Human_HCT116,Lasso,log_cds,0.4191708281878019,-0.4191708281878019
Human_HCT116,Lasso,log_utr5,0.19332233340087626,-0.19332233340087626
Human_HCT116,Lasso,utr5_size,0.14595316799744992,0.14595316799744992
Human_HCT116,Lasso,cds_CG,0.14220808926507028,0.14220808926507028
Human_HCT116,Lasso,cds_size,0.12728038855570475,0.12728038855570475
Human_HCT116,Lasso,utr5_CG,0.11337881046078857,0.11337881046078857
Human_HCT116,Lasso,uAUG_count,0.10814127267139058,-0.10814127267139058
Human_HCT116,Lasso,codon_TGT,0.10295551994282807,-0.10295551994282807
Human_HCT116,Lasso,codon_AAG,0.09031365452161057,0.09031365452161057
Human_HCT116,Lasso,cds_TG,0.0900063729668645,0.0900063729668645
Human_HCT116,Lasso,codon_GTG,0.08095466383809055,-0.08095466383809055
Human_HCT116,Lasso,cds_AA,0.07646587463308373,0.07646587463308373
Human_HCT116,Lasso,codon_TTA,0.07373577193133148,-0.07373577193133148
Human_HCT116,Lasso,utr5_GA,0.06539541310888018,0.06539541310888018
Human_HCT116,Lasso,cds_TA,0.06431376733770292,0.06431376733770292
Human_HCT116,Lasso,codon_GCT,0.06397455312991082,0.06397455312991082
Human_HCT116,Lasso,codon_GCC,0.06148896153580659,0.06148896153580659
Human_HCT116,Lasso,codon_GGC,0.06138326551902649,0.06138326551902649
Human_HCT116,Lasso,codon_CGC,0.061074261320988255,0.061074261320988255
Human_HCT116,Lasso,codon_AGT,0.06017960113314355,-0.06017960113314355
Human_HCT116,Lasso,cds_GT,0.05785700484509139,0.05785700484509139
Human_HCT116,Lasso,codon_GGT,0.05666716150254341,0.05666716150254341
Human_HCT116,Lasso,codon_CAT,0.05539963832073559,-0.05539963832073559
Human_HCT116,Lasso,codon_ATA,0.05415279072806163,-0.05415279072806163
Human_HCT116,Lasso,utr5_TT,0.053718065080981404,0.053718065080981404
Human_HCT116,Lasso,utr3_AT,0.05358018901494412,-0.05358018901494412
Human_HCT116,Lasso,codon_TCA,0.05220145174641682,-0.05220145174641682
Human_HCT116,Lasso,cds_AT,0.052067994794742535,0.052067994794742535
Human_HCT116,Lasso,cds_TC,0.04913604963709504,0.04913604963709504
Human_HCT116,Lasso,utr5_G,0.04866406053189107,-0.04866406053189107
Human_HCT116,Lasso,utr5_GT,0.048617699471463535,0.048617699471463535
Human_HCT116,Lasso,utr5_AT,0.04842075499399602,-0.04842075499399602
Human_HCT116,Lasso,utr3_G,0.047858269613247156,-0.047858269613247156
Human_HCT116,Lasso,codon_CAC,0.04579457891434222,-0.04579457891434222
Human_HCT116,Lasso,codon_CGG,0.04478320774324162,-0.04478320774324162
Human_HCT116,Lasso,codon_GAT,0.044338973936084825,0.044338973936084825
Human_HCT116,Lasso,codon_CAA,0.04363681643225981,-0.04363681643225981
