dataset,model,feature,importance,signed_coef
Mouse_4T1,Lasso,cds_size,0.13016908747840508,0.13016908747840508
Mouse_4T1,Lasso,log_cds,0.11914850164568223,0.11914850164568223
Mouse_4T1,Lasso,gc_full,0.08079204661088674,-0.08079204661088674
Mouse_4T1,Lasso,utr3_TA,0.07689297176744535,-0.07689297176744535
Mouse_4T1,Lasso,log_utr3,0.06779856630331277,0.06779856630331277
Mouse_4T1,Lasso,codon_AAG,0.06179474288859266,0.06179474288859266
Mouse_4T1,Lasso,uAUG_count,0.05905105490935717,-0.05905105490935717
Mouse_4T1,Lasso,utr3_size,0.05748954426645113,0.05748954426645113
Mouse_4T1,Lasso,codon_GCC,0.054472379815608214,0.054472379815608214
Mouse_4T1,Lasso,codon_GGC,0.04926962514076474,0.04926962514076474
Mouse_4T1,Lasso,utr3_CA,0.048589315231460574,-0.048589315231460574
Mouse_4T1,Lasso,log_tx,0.04762668875594934,0.04762668875594934
Mouse_4T1,Lasso,codon_TTA,0.04599928178863646,-0.04599928178863646
Mouse_4T1,Lasso,codon_AGT,0.045799863368000605,-0.045799863368000605
Mouse_4T1,Lasso,codon_GGT,0.04204679750015025,0.04204679750015025
Mouse_4T1,Lasso,utr3_G,0.04163886684014666,-0.04163886684014666
Mouse_4T1,Lasso,utr5_TC,0.039425967690493044,0.039425967690493044
Mouse_4T1,Lasso,codon_ACC,0.03816863208172711,0.03816863208172711
Mouse_4T1,Lasso,utr5_AG,0.03290717541032023,0.03290717541032023
Mouse_4T1,Lasso,codon_TTT,0.03277218412374912,-0.03277218412374912
Mouse_4T1,Lasso,utr5_CG,0.03179446589731917,0.03179446589731917
Mouse_4T1,Lasso,codon_CGC,0.03092949747877713,0.03092949747877713
Mouse_4T1,Lasso,utr5_size,0.030759757884235264,0.030759757884235264
Mouse_4T1,Lasso,utr3_TT,0.030103924523774327,0.030103924523774327
Mouse_4T1,Lasso,codon_ATA,0.02978718361965115,-0.02978718361965115
Mouse_4T1,Lasso,codon_TGT,0.0290768762241317,-0.0290768762241317
Mouse_4T1,Lasso,codon_CAT,0.027561168122156844,-0.027561168122156844
Mouse_4T1,Lasso,codon_CCC,0.027180736585893626,0.027180736585893626
Mouse_4T1,Lasso,cds_AT,0.02714393842631912,0.02714393842631912
Mouse_4T1,Lasso,codon_CTA,0.026750170194496777,-0.026750170194496777
Mouse_4T1,Lasso,codon_GTG,0.025119900613441264,-0.025119900613441264
Mouse_4T1,Lasso,codon_GCT,0.024822709151412024,0.024822709151412024
Mouse_4T1,Lasso,codon_TCA,0.02481899000230998,-0.02481899000230998
Mouse_4T1,Lasso,codon_AAA,0.02351838747191747,-0.02351838747191747
Mouse_4T1,Lasso,codon_AAC,0.02320404117405824,0.02320404117405824
Mouse_4T1,Lasso,cds_AG,0.021844427861514765,-0.021844427861514765
Mouse_4T1,Lasso,utr5_GG,0.02180870164112805,-0.02180870164112805
Mouse_4T1,Lasso,codon_CCT,0.021717081953280756,0.021717081953280756
Mouse_4T1,Lasso,cds_GG,0.0209066698666105,-0.0209066698666105
Mouse_4T1,Lasso,codon_TCC,0.01982489926295568,0.01982489926295568
Mouse_4T1,Lasso,codon_CAC,0.01925737561762111,-0.01925737561762111
Mouse_4T1,Lasso,cds_AA,0.019121257141086992,0.019121257141086992
Mouse_4T1,Lasso,codon_CAA,0.018964868826578808,-0.018964868826578808
Mouse_4T1,Lasso,utr3_AC,0.018314886988322673,0.018314886988322673
Mouse_4T1,Lasso,codon_CGG,0.017887564282515814,-0.017887564282515814
Mouse_4T1,Lasso,codon_GTA,0.017701901120360793,-0.017701901120360793
Mouse_4T1,Lasso,cds_GT,0.017457844646097162,0.017457844646097162
Mouse_4T1,Lasso,utr3_CT,0.015707685095887654,-0.015707685095887654
Mouse_4T1,Lasso,utr3_GG,0.01519888789956162,-0.01519888789956162
Mouse_4T1,Lasso,codon_TTG,0.014210867438559255,-0.014210867438559255
Mouse_4T1,ElasticNet,cds_size,0.12960364595823856,0.12960364595823856
Mouse_4T1,ElasticNet,log_cds,0.12432449521766746,0.12432449521766746
Mouse_4T1,ElasticNet,gc_full,0.0853510871924069,-0.0853510871924069
Mouse_4T1,ElasticNet,utr3_CA,0.07935156988033208,-0.07935156988033208
Mouse_4T1,ElasticNet,utr3_TA,0.07501176007621572,-0.07501176007621572
Mouse_4T1,ElasticNet,log_utr3,0.0703344319375538,0.0703344319375538
Mouse_4T1,ElasticNet,cds_AA,0.064746168296315,0.064746168296315
Mouse_4T1,ElasticNet,uAUG_count,0.062481544694225996,-0.062481544694225996
Mouse_4T1,ElasticNet,codon_GCC,0.05863158799396072,0.05863158799396072
Mouse_4T1,ElasticNet,utr3_size,0.05733003997536914,0.05733003997536914
Mouse_4T1,ElasticNet,codon_GGC,0.055596587417591506,0.055596587417591506
Mouse_4T1,ElasticNet,utr3_GC,0.054452530121045666,0.054452530121045666
Mouse_4T1,ElasticNet,utr3_CT,0.05162822616836137,-0.05162822616836137
Mouse_4T1,ElasticNet,utr3_G,0.05087570157258856,-0.05087570157258856
Mouse_4T1,ElasticNet,codon_TTA,0.05069628970368336,-0.05069628970368336
Mouse_4T1,ElasticNet,codon_AAG,0.04933881971258129,0.04933881971258129
Mouse_4T1,ElasticNet,codon_AGT,0.049242541219585566,-0.049242541219585566
