dataset,model,fold,r2
Human_HCT116,Lasso,0,0.44022549169471825
Human_HCT116,Lasso,1,0.4749532851325695
Human_HCT116,Lasso,2,0.47070162649087743
Human_HCT116,Lasso,3,0.5102252526679292
Human_HCT116,Lasso,4,0.4867069831944727
Human_HCT116,Lasso,5,0.5123066186333012
Human_HCT116,Lasso,6,0.5099938212764651
Human_HCT116,Lasso,7,0.4612883687535769
Human_HCT116,Lasso,8,0.4632946052000283
Human_HCT116,Lasso,9,0.47739150757041493
Human_HCT116,Lasso,mean,0.4807087560614353
Human_HCT116,Lasso,std,0.02286222490708733
Human_HCT116,Lasso,oof,0.48104330455078237
Human_HCT116,ElasticNet,0,0.44139325624168557
Human_HCT116,ElasticNet,1,0.474499988854569
Human_HCT116,ElasticNet,2,0.47025116301189285
Human_HCT116,ElasticNet,3,0.5101252054254615
Human_HCT116,ElasticNet,4,0.4852274501938627
Human_HCT116,ElasticNet,5,0.5134925410821013
Human_HCT116,ElasticNet,6,0.5099632151381024
Human_HCT116,ElasticNet,7,0.4625019478455251
Human_HCT116,ElasticNet,8,0.4631629165334952
Human_HCT116,ElasticNet,9,0.47758502957381677
Human_HCT116,ElasticNet,mean,0.48082027139005123
Human_HCT116,ElasticNet,std,0.022713305033238707
Human_HCT116,ElasticNet,oof,0.48114507722322897
Human_HCT116,RandomForest,0,0.4371498203185805
Human_HCT116,RandomForest,1,0.4613284696589497
Human_HCT116,RandomForest,2,0.44235322349355854
Human_HCT116,RandomForest,3,0.5066950303948543
Human_HCT116,RandomForest,4,0.48553838040038866
Human_HCT116,RandomForest,5,0.4949400130229673
Human_HCT116,RandomForest,6,0.47622518804832203
Human_HCT116,RandomForest,7,0.467712121669532
Human_HCT116,RandomForest,8,0.45943101551430987
Human_HCT116,RandomForest,9,0.47211116594512714
Human_HCT116,RandomForest,mean,0.470348442846659
Human_HCT116,RandomForest,std,0.0207064686740917
Human_HCT116,RandomForest,oof,0.47020441883322517
Human_HCT116,LightGBM,0,0.4979425790340135
Human_HCT116,LightGBM,1,0.5192608793289248
Human_HCT116,LightGBM,2,0.5152150639162068
Human_HCT116,LightGBM,3,0.5613700003574461
Human_HCT116,LightGBM,4,0.5617742759242565
Human_HCT116,LightGBM,5,0.550375711263972
Human_HCT116,LightGBM,6,0.5324928622027071
Human_HCT116,LightGBM,7,0.5204162222011226
Human_HCT116,LightGBM,8,0.5297071769429904
Human_HCT116,LightGBM,9,0.5494871588694782
Human_HCT116,LightGBM,mean,0.5338041930041119
Human_HCT116,LightGBM,std,0.020257422960760725
Human_HCT116,LightGBM,oof,0.533807351488967
