dataset,model,fold,r2
Mouse_4T1,Lasso,0,0.4044081576050529
Mouse_4T1,Lasso,1,0.43381489237526905
Mouse_4T1,Lasso,2,0.45008653861683134
Mouse_4T1,Lasso,3,0.403352173386741
Mouse_4T1,Lasso,4,0.4088357823004368
Mouse_4T1,Lasso,5,0.4649356120120065
Mouse_4T1,Lasso,6,0.46888312060961723
Mouse_4T1,Lasso,7,0.45911940465254697
Mouse_4T1,Lasso,8,0.45614041320229826
Mouse_4T1,Lasso,9,0.4168250278719806
Mouse_4T1,Lasso,mean,0.4366401122632781
Mouse_4T1,Lasso,std,0.02495459792350672
Mouse_4T1,Lasso,oof,0.43696905427842325
Mouse_4T1,ElasticNet,0,0.4050738643049848
Mouse_4T1,ElasticNet,1,0.4349022401931445
Mouse_4T1,ElasticNet,2,0.45090950645871275
Mouse_4T1,ElasticNet,3,0.40383970408363346
Mouse_4T1,ElasticNet,4,0.41030898451265985
Mouse_4T1,ElasticNet,5,0.46550943597009153
Mouse_4T1,ElasticNet,6,0.47098089549924316
Mouse_4T1,ElasticNet,7,0.4578177059262677
Mouse_4T1,ElasticNet,8,0.4565786768418916
Mouse_4T1,ElasticNet,9,0.4151250479982308
Mouse_4T1,ElasticNet,mean,0.437104606178886
Mouse_4T1,ElasticNet,std,0.02508338774026206
Mouse_4T1,ElasticNet,oof,0.4374310567760038
Mouse_4T1,RandomForest,0,0.3703489397920866
Mouse_4T1,RandomForest,1,0.3667416121768814
Mouse_4T1,RandomForest,2,0.41708241921831624
Mouse_4T1,RandomForest,3,0.3768266252608651
Mouse_4T1,RandomForest,4,0.363795152569621
Mouse_4T1,RandomForest,5,0.42522351989894425
Mouse_4T1,RandomForest,6,0.4183363291519465
Mouse_4T1,RandomForest,7,0.4073884670744857
Mouse_4T1,RandomForest,8,0.4043181055798175
Mouse_4T1,RandomForest,9,0.37301375939291004
Mouse_4T1,RandomForest,mean,0.3923074930115874
Mouse_4T1,RandomForest,std,0.023037152604999007
Mouse_4T1,RandomForest,oof,0.39260949115984767
Mouse_4T1,LightGBM,0,0.43435658653076004
Mouse_4T1,LightGBM,1,0.44942172563652627
Mouse_4T1,LightGBM,2,0.48898450150420536
Mouse_4T1,LightGBM,3,0.4608919827759145
Mouse_4T1,LightGBM,4,0.47421400328140595
Mouse_4T1,LightGBM,5,0.5154680055688631
Mouse_4T1,LightGBM,6,0.505093262434424
Mouse_4T1,LightGBM,7,0.5006943630325882
Mouse_4T1,LightGBM,8,0.49914365415601736
Mouse_4T1,LightGBM,9,0.4425084641298699
Mouse_4T1,LightGBM,mean,0.47707765490505744
Mouse_4T1,LightGBM,std,0.027386619089405515
Mouse_4T1,LightGBM,oof,0.47759455019158215
