dataset,model,feature,importance,signed_coef
Mouse_4T1,Lasso,log_tx,0.16792783457092236,0.16792783457092236
Mouse_4T1,Lasso,log_cds,0.16239910791535428,0.16239910791535428
Mouse_4T1,Lasso,utr3_TA,0.0760243337929733,-0.0760243337929733
Mouse_4T1,Lasso,codon_AAG,0.06660539517423233,0.06660539517423233
Mouse_4T1,Lasso,gc_full,0.06382436373998965,-0.06382436373998965
Mouse_4T1,Lasso,codon_GCC,0.056092689100521405,0.056092689100521405
Mouse_4T1,Lasso,codon_GGC,0.05172130571773099,0.05172130571773099
Mouse_4T1,Lasso,codon_TTA,0.04728661270823355,-0.04728661270823355
Mouse_4T1,Lasso,codon_AGT,0.046547558706393044,-0.046547558706393044
Mouse_4T1,Lasso,utr3_CA,0.046136531567617885,-0.046136531567617885
Mouse_4T1,Lasso,uAUG_count,0.04581941195284568,-0.04581941195284568
Mouse_4T1,Lasso,log_utr3,0.043326665834761635,0.043326665834761635
Mouse_4T1,Lasso,codon_GGT,0.04287771233624592,0.04287771233624592
Mouse_4T1,Lasso,utr5_TC,0.040463370121185116,0.040463370121185116
Mouse_4T1,Lasso,utr3_G,0.04038693097507905,-0.04038693097507905
Mouse_4T1,Lasso,codon_ACC,0.04030964239967016,0.04030964239967016
Mouse_4T1,Lasso,codon_TTT,0.036848077264388684,-0.036848077264388684
Mouse_4T1,Lasso,utr5_AG,0.033937278252557095,0.033937278252557095
Mouse_4T1,Lasso,cds_AT,0.033770925499529425,0.033770925499529425
Mouse_4T1,Lasso,cds_CG,0.032539859519924455,0.032539859519924455
Mouse_4T1,Lasso,cds_G,0.03240184069507258,-0.03240184069507258
Mouse_4T1,Lasso,codon_ATA,0.032150897320838874,-0.032150897320838874
Mouse_4T1,Lasso,utr3_TT,0.03175345182206466,0.03175345182206466
Mouse_4T1,Lasso,codon_CGC,0.031513515292747464,0.031513515292747464
Mouse_4T1,Lasso,utr5_CG,0.03134991835615378,0.03134991835615378
Mouse_4T1,Lasso,codon_TGT,0.02999238615694126,-0.02999238615694126
Mouse_4T1,Lasso,codon_CCC,0.028178423259222093,0.028178423259222093
Mouse_4T1,Lasso,codon_CAT,0.027801658651314735,-0.027801658651314735
Mouse_4T1,Lasso,codon_CTA,0.027063149638715995,-0.027063149638715995
Mouse_4T1,Lasso,codon_TCA,0.0254471689911966,-0.0254471689911966
Mouse_4T1,Lasso,codon_GCT,0.02496537271795464,0.02496537271795464
Mouse_4T1,Lasso,codon_GTG,0.024849576361194007,-0.024849576361194007
Mouse_4T1,Lasso,codon_CCT,0.02386448759256223,0.02386448759256223
Mouse_4T1,Lasso,codon_AAC,0.023583257549659918,0.023583257549659918
Mouse_4T1,Lasso,utr5_GG,0.02284213584184403,-0.02284213584184403
Mouse_4T1,Lasso,codon_AAA,0.022319698144887327,-0.022319698144887327
Mouse_4T1,Lasso,codon_TCC,0.0218386733813656,0.0218386733813656
Mouse_4T1,Lasso,codon_CAC,0.02131122699540065,-0.02131122699540065
Mouse_4T1,Lasso,utr3_GG,0.020156052729357943,-0.020156052729357943
Mouse_4T1,Lasso,codon_GTA,0.01869148857429136,-0.01869148857429136
Mouse_4T1,Lasso,cds_GT,0.018565974675520742,0.018565974675520742
Mouse_4T1,Lasso,cds_AA,0.01846349284758523,0.01846349284758523
Mouse_4T1,Lasso,codon_TAT,0.017207342019552246,-0.017207342019552246
Mouse_4T1,Lasso,codon_CGG,0.016624857732463773,-0.016624857732463773
Mouse_4T1,Lasso,utr3_AC,0.016567161581040303,0.016567161581040303
Mouse_4T1,Lasso,codon_CAA,0.01608547475081749,-0.01608547475081749
Mouse_4T1,Lasso,utr5_TT,0.01488329878495289,0.01488329878495289
Mouse_4T1,Lasso,utr3_CC,0.014471483043214474,0.014471483043214474
Mouse_4T1,Lasso,cds_GG,0.01428162392618804,-0.01428162392618804
Mouse_4T1,Lasso,codon_ACA,0.013773491737916982,-0.013773491737916982
Mouse_4T1,ElasticNet,log_cds,0.16644506478487228,0.16644506478487228
Mouse_4T1,ElasticNet,log_tx,0.1641420820613462,0.1641420820613462
Mouse_4T1,ElasticNet,utr3_CA,0.07694317845000716,-0.07694317845000716
Mouse_4T1,ElasticNet,cds_AA,0.07456898049401074,0.07456898049401074
Mouse_4T1,ElasticNet,utr3_TA,0.07360310445718235,-0.07360310445718235
Mouse_4T1,ElasticNet,gc_full,0.06779464604968577,-0.06779464604968577
Mouse_4T1,ElasticNet,codon_GCC,0.059115939206963425,0.059115939206963425
Mouse_4T1,ElasticNet,codon_GGC,0.055358917530434315,0.055358917530434315
Mouse_4T1,ElasticNet,utr3_GC,0.0520913970955808,0.0520913970955808
Mouse_4T1,ElasticNet,codon_TTA,0.05160778149373292,-0.05160778149373292
Mouse_4T1,ElasticNet,codon_AGT,0.05018872499719786,-0.05018872499719786
Mouse_4T1,ElasticNet,codon_AAG,0.050154985538579486,0.050154985538579486
Mouse_4T1,ElasticNet,utr3_G,0.04910927694742921,-0.04910927694742921
Mouse_4T1,ElasticNet,utr3_CT,0.04816480394201288,-0.04816480394201288
Mouse_4T1,ElasticNet,cds_G,0.047746725061226354,-0.047746725061226354
Mouse_4T1,ElasticNet,log_utr3,0.045968794570917286,0.045968794570917286
Mouse_4T1,ElasticNet,utr5_TC,0.04578575351563207,0.04578575351563207
Mouse_4T1,ElasticNet,uAUG_count,0.045248872476430564,-0.045248872476430564
Mouse_4T1,ElasticNet,codon_AAA,0.043498493282515836,-0.043498493282515836
Mouse_4T1,ElasticNet,utr3_AC,0.04279606999761124,0.04279606999761124
Mouse_4T1,ElasticNet,codon_GGT,0.042620210365770766,0.042620210365770766
Mouse_4T1,ElasticNet,codon_ATA,0.038793878835409405,-0.038793878835409405
Mouse_4T1,ElasticNet,cds_AT,0.03833234270035424,0.03833234270035424
Mouse_4T1,ElasticNet,utr5_AG,0.03737438959031426,0.03737438959031426
Mouse_4T1,ElasticNet,codon_TTT,0.037128114809505904,-0.037128114809505904
Mouse_4T1,ElasticNet,codon_ACC,0.03679323966622813,0.03679323966622813
Mouse_4T1,ElasticNet,utr3_TT,0.036772282658399956,0.036772282658399956
Mouse_4T1,ElasticNet,utr5_CG,0.03596515612897263,0.03596515612897263
Mouse_4T1,ElasticNet,cds_CG,0.03390958328923235,0.03390958328923235
Mouse_4T1,ElasticNet,codon_TGT,0.03380039521914414,-0.03380039521914414
Mouse_4T1,ElasticNet,utr3_TC,0.0331985626928211,0.0331985626928211
Mouse_4T1,ElasticNet,codon_CGC,0.03238602614421808,0.03238602614421808
Mouse_4T1,ElasticNet,codon_CCC,0.03100685123931264,0.03100685123931264
Mouse_4T1,ElasticNet,codon_CAT,0.03050066151219044,-0.03050066151219044
Mouse_4T1,ElasticNet,codon_CTA,0.030059864625841478,-0.030059864625841478
Mouse_4T1,ElasticNet,codon_TCA,0.027926568272885453,-0.027926568272885453
Mouse_4T1,ElasticNet,codon_GTG,0.027195337457767924,-0.027195337457767924
Mouse_4T1,ElasticNet,cds_GT,0.02679687761169496,0.02679687761169496
Mouse_4T1,ElasticNet,codon_GAA,0.026419286798801008,-0.026419286798801008
Mouse_4T1,ElasticNet,codon_GCT,0.02567689274604366,0.02567689274604366
Mouse_4T1,ElasticNet,codon_CCT,0.025146472706642886,0.025146472706642886
Mouse_4T1,ElasticNet,codon_CAA,0.02494054807924637,-0.02494054807924637
Mouse_4T1,ElasticNet,codon_CAC,0.02489941093214601,-0.02489941093214601
Mouse_4T1,ElasticNet,codon_TCC,0.02409939303676643,0.02409939303676643
Mouse_4T1,ElasticNet,codon_TAT,0.023920234005417082,-0.023920234005417082
Mouse_4T1,ElasticNet,codon_GTA,0.02303495985836515,-0.02303495985836515
Mouse_4T1,ElasticNet,cds_TA,0.022396477466101853,0.022396477466101853
Mouse_4T1,ElasticNet,utr5_GG,0.0215965692920119,-0.0215965692920119
Mouse_4T1,ElasticNet,codon_ACA,0.02110247490434098,-0.02110247490434098
Mouse_4T1,ElasticNet,utr5_TT,0.02082810532351982,0.02082810532351982
Mouse_4T1,RandomForest,log_tx,0.08956066019958236,
Mouse_4T1,RandomForest,log_cds,0.06290584610774545,
Mouse_4T1,RandomForest,log_utr3,0.03907730553006907,
Mouse_4T1,RandomForest,cds_C,0.017164953109266905,
Mouse_4T1,RandomForest,cds_CC,0.01488559758398655,
Mouse_4T1,RandomForest,codon_CTA,0.010631493440058062,
Mouse_4T1,RandomForest,gc_cds,0.010549558222815466,
Mouse_4T1,RandomForest,codon_GGC,0.010091541463224257,
Mouse_4T1,RandomForest,codon_ACC,0.010068363271271617,
Mouse_4T1,RandomForest,codon_AGA,0.00988648309982333,
Mouse_4T1,RandomForest,codon_GCC,0.009630865217361067,
Mouse_4T1,RandomForest,cds_TT,0.009492894900494405,
Mouse_4T1,RandomForest,codon_CCC,0.00943775560194827,
Mouse_4T1,RandomForest,codon_CGC,0.009360559918842071,
Mouse_4T1,RandomForest,codon_AAC,0.008871841942975677,
Mouse_4T1,RandomForest,codon_ATA,0.008686324056595392,
Mouse_4T1,RandomForest,codon_AAG,0.008686061160320797,
Mouse_4T1,RandomForest,codon_TTA,0.008648825377798357,
Mouse_4T1,RandomForest,codon_TCG,0.0086061133664925,
Mouse_4T1,RandomForest,utr3_AG,0.00854292497231568,
Mouse_4T1,RandomForest,codon_GGT,0.008353993342961505,
Mouse_4T1,RandomForest,utr3_TT,0.00823582021475772,
Mouse_4T1,RandomForest,codon_ATC,0.007978527319744083,
Mouse_4T1,RandomForest,codon_AGG,0.007872057249392606,
Mouse_4T1,RandomForest,utr3_GA,0.007570110354188221,
Mouse_4T1,RandomForest,utr5_TG,0.0075451031632390135,
Mouse_4T1,RandomForest,codon_TTT,0.007516936022288092,
Mouse_4T1,RandomForest,codon_CGT,0.007464779594077403,
Mouse_4T1,RandomForest,codon_TGT,0.007282466844835697,
Mouse_4T1,RandomForest,utr3_G,0.007217411196546238,
Mouse_4T1,RandomForest,cds_GC,0.0071546883489585515,
Mouse_4T1,RandomForest,utr3_T,0.007110558465045053,
Mouse_4T1,RandomForest,utr3_GG,0.007026297024465095,
Mouse_4T1,RandomForest,codon_GCT,0.0069795252657497845,
Mouse_4T1,RandomForest,codon_GAA,0.006953198089839233,
Mouse_4T1,RandomForest,codon_TCC,0.006859132558164413,
Mouse_4T1,RandomForest,codon_TTG,0.006858826774220408,
Mouse_4T1,RandomForest,cds_TA,0.006853528424364354,
Mouse_4T1,RandomForest,codon_AGT,0.00680756532246039,
Mouse_4T1,RandomForest,utr5_TC,0.00674047054387098,
Mouse_4T1,RandomForest,cds_T,0.006573673423933554,
Mouse_4T1,RandomForest,codon_ACG,0.00656158218868576,
Mouse_4T1,RandomForest,cds_CA,0.006523700927533355,
Mouse_4T1,RandomForest,utr3_A,0.006498895539512285,
Mouse_4T1,RandomForest,codon_CTT,0.0064321141747678496,
Mouse_4T1,RandomForest,codon_CAT,0.006404434579754827,
Mouse_4T1,RandomForest,codon_CGG,0.0063146048313954236,
Mouse_4T1,RandomForest,utr5_C,0.006293143333480219,
Mouse_4T1,RandomForest,cds_GA,0.006292931728838262,
Mouse_4T1,RandomForest,utr3_CG,0.006217105530122539,
Mouse_4T1,LightGBM,log_tx,5436.662164457724,
Mouse_4T1,LightGBM,log_cds,1701.0113775326172,
Mouse_4T1,LightGBM,cds_CC,826.2454122565105,
Mouse_4T1,LightGBM,log_utr3,664.7787946860481,
Mouse_4T1,LightGBM,uAUG_count,663.8605312336003,
Mouse_4T1,LightGBM,cds_C,615.4771507295081,
Mouse_4T1,LightGBM,codon_AAG,475.0520188732771,
Mouse_4T1,LightGBM,codon_TTA,455.281800693454,
Mouse_4T1,LightGBM,codon_GGC,440.20301185769495,
Mouse_4T1,LightGBM,codon_GCC,427.7128703891067,
Mouse_4T1,LightGBM,codon_AGT,408.4343356593745,
Mouse_4T1,LightGBM,utr3_AG,384.7704244670458,
Mouse_4T1,LightGBM,codon_GGT,383.54577682341915,
Mouse_4T1,LightGBM,gc_cds,373.5481018971186,
Mouse_4T1,LightGBM,codon_AGA,341.11438925244147,
Mouse_4T1,LightGBM,codon_CTA,317.3375368441921,
Mouse_4T1,LightGBM,codon_ATC,305.0437860606471,
Mouse_4T1,LightGBM,utr3_TT,300.8165826504701,
Mouse_4T1,LightGBM,codon_AGG,295.84967004990904,
Mouse_4T1,LightGBM,codon_ACC,287.4563643410802,
Mouse_4T1,LightGBM,utr5_TC,286.93051051546354,
Mouse_4T1,LightGBM,codon_TGT,280.79673171346076,
Mouse_4T1,LightGBM,codon_CAT,259.7618579265545,
Mouse_4T1,LightGBM,codon_AAC,238.8042767108418,
Mouse_4T1,LightGBM,utr5_GG,219.58534718607552,
Mouse_4T1,LightGBM,codon_TCA,214.41859955730615,
Mouse_4T1,LightGBM,codon_CGG,209.3217401242582,
Mouse_4T1,LightGBM,codon_GCT,197.65718576672953,
Mouse_4T1,LightGBM,codon_CCA,195.82362441212172,
Mouse_4T1,LightGBM,utr5_TG,193.92127814056585,
Mouse_4T1,LightGBM,codon_ATA,190.91013067919994,
Mouse_4T1,LightGBM,codon_CAA,183.98774043819867,
Mouse_4T1,LightGBM,codon_TGG,179.30023351003183,
Mouse_4T1,LightGBM,codon_TTG,171.99029478384182,
Mouse_4T1,LightGBM,codon_GAA,169.43058914973517,
Mouse_4T1,LightGBM,utr3_G,166.60499847237952,
Mouse_4T1,LightGBM,codon_TGC,163.06684188899817,
Mouse_4T1,LightGBM,codon_TTT,161.22800647790427,
Mouse_4T1,LightGBM,codon_CGT,155.42944157583406,
Mouse_4T1,LightGBM,codon_CGC,155.00709141706466,
