dataset,model,fold,r2
Human_HCT116,Lasso,0,-0.5196743291727499
Human_HCT116,Lasso,1,
Human_HCT116,Lasso,2,-39.983437786871676
Human_HCT116,Lasso,3,-1.4771368613730287
Human_HCT116,Lasso,4,
Human_HCT116,Lasso,5,-6.039807282481272
Human_HCT116,Lasso,6,-1447.664140739906
Human_HCT116,Lasso,7,-2.5490791981700776
Human_HCT116,Lasso,mean,
Human_HCT116,Lasso,std,
Human_HCT116,Lasso,oof,-0.6176317101337978
Human_HCT116,ElasticNet,0,0.5979841674598365
Human_HCT116,ElasticNet,1,
Human_HCT116,ElasticNet,2,-39.72439238682244
Human_HCT116,ElasticNet,3,-1.1626840238035956
Human_HCT116,ElasticNet,4,
Human_HCT116,ElasticNet,5,-6.8426659972402035
Human_HCT116,ElasticNet,6,-2005.1271560460154
Human_HCT116,ElasticNet,7,-1.1235497425977363
Human_HCT116,ElasticNet,mean,
Human_HCT116,ElasticNet,std,
Human_HCT116,ElasticNet,oof,-0.5123280128496339
Human_HCT116,RandomForest,0,0.0017676716191654673
Human_HCT116,RandomForest,1,
Human_HCT116,RandomForest,2,-32.90370839706231
Human_HCT116,RandomForest,3,-0.5039123787888271
Human_HCT116,RandomForest,4,
Human_HCT116,RandomForest,5,-1.432400505185981
Human_HCT116,RandomForest,6,-720.7343346153382
Human_HCT116,RandomForest,7,-0.7057500381526824
Human_HCT116,RandomForest,mean,
Human_HCT116,RandomForest,std,
Human_HCT116,RandomForest,oof,-0.09086786674269987
Human_HCT116,LightGBM,0,-0.3598682142961249
Human_HCT116,LightGBM,1,
Human_HCT116,LightGBM,2,-32.051196015256004
Human_HCT116,LightGBM,3,-0.5885511405773964
Human_HCT116,LightGBM,4,
Human_HCT116,LightGBM,5,-1.5094942309432935
Human_HCT116,LightGBM,6,-546.1286067935534
Human_HCT116,LightGBM,7,-1.5725743597862687
Human_HCT116,LightGBM,mean,
Human_HCT116,LightGBM,std,
Human_HCT116,LightGBM,oof,-0.1818879031446956
Human_HCT116,XGBoost,0,-0.3358931016050708
Human_HCT116,XGBoost,1,
Human_HCT116,XGBoost,2,-16.33697652761909
Human_HCT116,XGBoost,3,-0.6712332924968398
Human_HCT116,XGBoost,4,
Human_HCT116,XGBoost,5,0.8735088007420416
Human_HCT116,XGBoost,6,-772.9883489363099
Human_HCT116,XGBoost,7,-0.25157305649925066
Human_HCT116,XGBoost,mean,
Human_HCT116,XGBoost,std,
Human_HCT116,XGBoost,oof,0.14998133860543572
Human_HCT116,SVR,0,-0.06034358534497919
Human_HCT116,SVR,1,
Human_HCT116,SVR,2,-27.238871285618632
Human_HCT116,SVR,3,-0.2313294582499037
Human_HCT116,SVR,4,
Human_HCT116,SVR,5,-1.1037347473777666
Human_HCT116,SVR,6,-589.1521084054663
Human_HCT116,SVR,7,-1.2028535499935993
Human_HCT116,SVR,mean,
Human_HCT116,SVR,std,
Human_HCT116,SVR,oof,0.058512603398367946
Human_HCT116,LinearSVM,0,0.6558212619891985
Human_HCT116,LinearSVM,1,
Human_HCT116,LinearSVM,2,-39.18634838330177
Human_HCT116,LinearSVM,3,-0.36124742660110876
Human_HCT116,LinearSVM,4,
Human_HCT116,LinearSVM,5,-5.3228507111033165
Human_HCT116,LinearSVM,6,-2930.09186148604
Human_HCT116,LinearSVM,7,-0.31443328599278475
Human_HCT116,LinearSVM,mean,
Human_HCT116,LinearSVM,std,
Human_HCT116,LinearSVM,oof,-0.4869442771086434
