dataset,model,fold,r2
Mouse_4T1,Lasso,0,-2.218020169486937
Mouse_4T1,Lasso,1,-3.543706011596062
Mouse_4T1,Lasso,2,-3.0028335498871357
Mouse_4T1,Lasso,3,-9.246783813153497
Mouse_4T1,Lasso,4,-1.0897879268472885
Mouse_4T1,Lasso,5,-210.49497010005837
Mouse_4T1,Lasso,6,
Mouse_4T1,Lasso,7,-5.306208703505572
Mouse_4T1,Lasso,8,
Mouse_4T1,Lasso,9,-2.7343351098988466
Mouse_4T1,Lasso,mean,
Mouse_4T1,Lasso,std,
Mouse_4T1,Lasso,oof,-0.9415690636926131
Mouse_4T1,ElasticNet,0,-0.7329194011428835
Mouse_4T1,ElasticNet,1,-6.825837059143536
Mouse_4T1,ElasticNet,2,-1.9565572646042702
Mouse_4T1,ElasticNet,3,-8.133136052782074
Mouse_4T1,ElasticNet,4,-0.9935315761589552
Mouse_4T1,ElasticNet,5,-146.60476071371002
Mouse_4T1,ElasticNet,6,
Mouse_4T1,ElasticNet,7,-5.423193553073325
Mouse_4T1,ElasticNet,8,
Mouse_4T1,ElasticNet,9,-1.5436058802262562
Mouse_4T1,ElasticNet,mean,
Mouse_4T1,ElasticNet,std,
Mouse_4T1,ElasticNet,oof,-0.4662762518388712
Mouse_4T1,RandomForest,0,-0.12903978812005912
Mouse_4T1,RandomForest,1,-18.164219742452204
Mouse_4T1,RandomForest,2,-0.4009102506089046
Mouse_4T1,RandomForest,3,-3.854544369011326
Mouse_4T1,RandomForest,4,0.27863897696654216
Mouse_4T1,RandomForest,5,-86.00081773002766
Mouse_4T1,RandomForest,6,
Mouse_4T1,RandomForest,7,-5.226462085955289
Mouse_4T1,RandomForest,8,
Mouse_4T1,RandomForest,9,-0.44364589977528324
Mouse_4T1,RandomForest,mean,
Mouse_4T1,RandomForest,std,
Mouse_4T1,RandomForest,oof,-0.16279214526335362
Mouse_4T1,LightGBM,0,-0.27988579044239303
Mouse_4T1,LightGBM,1,-12.019911102191292
Mouse_4T1,LightGBM,2,-0.2839035963908141
Mouse_4T1,LightGBM,3,-4.328670359893014
Mouse_4T1,LightGBM,4,-0.0007467817752726535
Mouse_4T1,LightGBM,5,-76.08069814248957
Mouse_4T1,LightGBM,6,
Mouse_4T1,LightGBM,7,-3.273080014251427
Mouse_4T1,LightGBM,8,
Mouse_4T1,LightGBM,9,-0.579477163705789
Mouse_4T1,LightGBM,mean,
Mouse_4T1,LightGBM,std,
Mouse_4T1,LightGBM,oof,-0.12155795933772695
Mouse_4T1,XGBoost,0,0.4993068622393051
Mouse_4T1,XGBoost,1,-23.70738836300231
Mouse_4T1,XGBoost,2,-1.6755205423693615
Mouse_4T1,XGBoost,3,-2.5679591421896446
Mouse_4T1,XGBoost,4,0.16654411569958816
Mouse_4T1,XGBoost,5,-127.8747624880584
Mouse_4T1,XGBoost,6,
Mouse_4T1,XGBoost,7,-5.324638004766948
Mouse_4T1,XGBoost,8,
Mouse_4T1,XGBoost,9,0.6916002675320461
Mouse_4T1,XGBoost,mean,
Mouse_4T1,XGBoost,std,
Mouse_4T1,XGBoost,oof,-0.1797241485898513
Mouse_4T1,SVR,0,-0.127930502686306
Mouse_4T1,SVR,1,-16.794307319143268
Mouse_4T1,SVR,2,-0.8692357330369378
Mouse_4T1,SVR,3,-3.7746916041580256
Mouse_4T1,SVR,4,0.37931904769931746
Mouse_4T1,SVR,5,-95.88425833086217
Mouse_4T1,SVR,6,
Mouse_4T1,SVR,7,-4.6409312931849325
Mouse_4T1,SVR,8,
Mouse_4T1,SVR,9,-0.1639780669835671
Mouse_4T1,SVR,mean,
Mouse_4T1,SVR,std,
Mouse_4T1,SVR,oof,-0.11127459781580185
Mouse_4T1,LinearSVM,0,-1.0662939768757598
Mouse_4T1,LinearSVM,1,-10.198324921336695
Mouse_4T1,LinearSVM,2,-0.8850674789622208
Mouse_4T1,LinearSVM,3,-3.023508524566478
Mouse_4T1,LinearSVM,4,-1.9195532251506147
Mouse_4T1,LinearSVM,5,-307.06545181280615
Mouse_4T1,LinearSVM,6,
Mouse_4T1,LinearSVM,7,-9.094546630339503
Mouse_4T1,LinearSVM,8,
Mouse_4T1,LinearSVM,9,-7.52705914558511
Mouse_4T1,LinearSVM,mean,
Mouse_4T1,LinearSVM,std,
Mouse_4T1,LinearSVM,oof,-1.1415722413429101
