dataset,model,feature,importance,signed_coef
Human_HCT116,Lasso,log_cds,0.3132113707545697,-0.3132113707545697
Human_HCT116,Lasso,tai,0.27043365589874907,0.27043365589874907
Human_HCT116,Lasso,cds_CG,0.17087280956139841,0.17087280956139841
Human_HCT116,Lasso,codon_TGT,0.13321302716127306,-0.13321302716127306
Human_HCT116,Lasso,codon_GTG,0.12034273065743739,-0.12034273065743739
Human_HCT116,Lasso,utr5_GC,0.10815027960685433,0.10815027960685433
Human_HCT116,Lasso,utr5_TC,0.09878684213560404,0.09878684213560404
Human_HCT116,Lasso,codon_CGC,0.0964402482039242,0.0964402482039242
Human_HCT116,Lasso,utr5_TT,0.09460590158761047,0.09460590158761047
Human_HCT116,Lasso,gc_full,0.09437587284216337,-0.09437587284216337
Human_HCT116,Lasso,cds_TG,0.08822671733069504,0.08822671733069504
Human_HCT116,Lasso,utr5_GT,0.08497513430196763,0.08497513430196763
Human_HCT116,Lasso,uAUG_count,0.07541037872466669,-0.07541037872466669
Human_HCT116,Lasso,codon_TGC,0.07530054102248653,-0.07530054102248653
Human_HCT116,Lasso,utr5_AC,0.07292785701084911,0.07292785701084911
Human_HCT116,Lasso,utr5_CG,0.0690758586241449,0.0690758586241449
Human_HCT116,Lasso,utr5_AG,0.0687816903671517,0.0687816903671517
Human_HCT116,Lasso,utr3_AT,0.06341905256919639,-0.06341905256919639
Human_HCT116,Lasso,log_utr3,0.06271801249211871,-0.06271801249211871
Human_HCT116,Lasso,cds_GT,0.06180555241111139,0.06180555241111139
Human_HCT116,Lasso,utr5_GA,0.06140606206221267,0.06140606206221267
Human_HCT116,Lasso,codon_GCG,0.05913391732401042,0.05913391732401042
Human_HCT116,Lasso,codon_GGT,0.05732992458906881,0.05732992458906881
Human_HCT116,Lasso,codon_ACC,0.05671273444686011,0.05671273444686011
Human_HCT116,Lasso,codon_GAT,0.05580512924269103,0.05580512924269103
Human_HCT116,Lasso,mfe_start,0.05321245899367212,0.05321245899367212
Human_HCT116,Lasso,codon_CCC,0.05308968807954259,0.05308968807954259
Human_HCT116,Lasso,kozak_score,0.050199849892352565,0.050199849892352565
Human_HCT116,Lasso,cds_TA,0.05015393522410234,0.05015393522410234
Human_HCT116,Lasso,cds_AA,0.049155799396654584,0.049155799396654584
Human_HCT116,Lasso,utr3_AG,0.04351054025891119,-0.04351054025891119
Human_HCT116,Lasso,codon_TTA,0.041525683066207165,-0.041525683066207165
Human_HCT116,Lasso,codon_CCG,0.04095867914251284,0.04095867914251284
Human_HCT116,Lasso,utr3_CC,0.040252137493676926,0.040252137493676926
Human_HCT116,Lasso,codon_AGT,0.03832217304472563,-0.03832217304472563
Human_HCT116,Lasso,cds_TC,0.037883392191475025,0.037883392191475025
