dataset,model,feature,importance,signed_coef
Mouse_4T1,Lasso,log_cds,0.28448897487577735,0.28448897487577735
Mouse_4T1,Lasso,log_tx,0.12924902449867026,0.12924902449867026
Mouse_4T1,Lasso,codon_TAA,0.11643790531826692,0.11643790531826692
Mouse_4T1,Lasso,codon_TGA,0.09260631519517401,0.09260631519517401
Mouse_4T1,Lasso,codon_TAG,0.07523343485114363,0.07523343485114363
Mouse_4T1,Lasso,utr3_TA,0.07317704213714854,-0.07317704213714854
Mouse_4T1,Lasso,gc_full,0.0725889687031688,-0.0725889687031688
Mouse_4T1,Lasso,log_utr3,0.06857190716584494,0.06857190716584494
Mouse_4T1,Lasso,codon_AAG,0.06751709595791756,0.06751709595791756
Mouse_4T1,Lasso,codon_GCC,0.05036059978037793,0.05036059978037793
Mouse_4T1,Lasso,utr3_CA,0.04713071229819938,-0.04713071229819938
Mouse_4T1,Lasso,utr3_G,0.04612116764916619,-0.04612116764916619
Mouse_4T1,Lasso,codon_GGC,0.04506512546273513,0.04506512546273513
Mouse_4T1,Lasso,cds_CG,0.04320041218925157,0.04320041218925157
Mouse_4T1,Lasso,uAUG_count,0.04303625169744536,-0.04303625169744536
Mouse_4T1,Lasso,codon_GGT,0.04108056355630006,0.04108056355630006
Mouse_4T1,Lasso,codon_AGT,0.039618210194865416,-0.039618210194865416
Mouse_4T1,Lasso,utr5_TC,0.03939176391876918,0.03939176391876918
Mouse_4T1,Lasso,codon_ACC,0.03805146847130441,0.03805146847130441
Mouse_4T1,Lasso,cds_C,0.03704715990103492,0.03704715990103492
Mouse_4T1,Lasso,codon_TTA,0.036768299015364186,-0.036768299015364186
Mouse_4T1,Lasso,utr5_AG,0.031822363605663775,0.031822363605663775
Mouse_4T1,Lasso,utr3_TT,0.031041854997824567,0.031041854997824567
Mouse_4T1,Lasso,codon_AAC,0.030453161593459302,0.030453161593459302
Mouse_4T1,Lasso,utr5_CG,0.02820244005303468,0.02820244005303468
Mouse_4T1,Lasso,codon_CCC,0.02579661070429148,0.02579661070429148
Mouse_4T1,Lasso,codon_CGC,0.025645407543496087,0.025645407543496087
Mouse_4T1,Lasso,codon_GCT,0.02530379453330381,0.02530379453330381
Mouse_4T1,Lasso,cds_AT,0.024981688808126682,0.024981688808126682
Mouse_4T1,Lasso,codon_CAT,0.024910982259758754,-0.024910982259758754
Mouse_4T1,Lasso,codon_TGT,0.0242888468119424,-0.0242888468119424
Mouse_4T1,Lasso,cds_TG,0.023930699120012135,0.023930699120012135
Mouse_4T1,Lasso,cds_CA,0.023510955929840417,0.023510955929840417
Mouse_4T1,Lasso,codon_TTT,0.023413079291885137,-0.023413079291885137
Mouse_4T1,Lasso,codon_GTG,0.022978673154989582,-0.022978673154989582
Mouse_4T1,Lasso,utr5_GG,0.022700295816228143,-0.022700295816228143
Mouse_4T1,Lasso,codon_CCT,0.02268841695881706,0.02268841695881706
Mouse_4T1,Lasso,codon_CTA,0.022622421178689567,-0.022622421178689567
Mouse_4T1,Lasso,codon_TCC,0.022029720006612682,0.022029720006612682
Mouse_4T1,Lasso,codon_ATA,0.02187490662186345,-0.02187490662186345
Mouse_4T1,Lasso,codon_TCA,0.02058878408745504,-0.02058878408745504
Mouse_4T1,Lasso,codon_CGG,0.020519636761728275,-0.020519636761728275
Mouse_4T1,Lasso,codon_CAC,0.018390427219351437,-0.018390427219351437
Mouse_4T1,Lasso,utr3_AC,0.016614774586851067,0.016614774586851067
Mouse_4T1,Lasso,codon_TAC,0.01576258371895707,0.01576258371895707
Mouse_4T1,Lasso,utr3_CT,0.015489769500193451,-0.015489769500193451
Mouse_4T1,Lasso,utr5_TT,0.014985138577395871,0.014985138577395871
Mouse_4T1,Lasso,codon_CAA,0.014353627091871598,-0.014353627091871598
Mouse_4T1,Lasso,codon_AGA,0.013740245249303555,-0.013740245249303555
Mouse_4T1,Lasso,codon_CGT,0.013489351222881515,0.013489351222881515
Mouse_4T1,ElasticNet,log_cds,0.293476710597082,0.293476710597082
Mouse_4T1,ElasticNet,log_tx,0.12499947739903089,0.12499947739903089
Mouse_4T1,ElasticNet,codon_TAA,0.12059422493326893,0.12059422493326893
Mouse_4T1,ElasticNet,codon_TGA,0.09789156824558456,0.09789156824558456
Mouse_4T1,ElasticNet,codon_TAG,0.07929092918329833,0.07929092918329833
Mouse_4T1,ElasticNet,utr3_CA,0.07917196033290654,-0.07917196033290654
Mouse_4T1,ElasticNet,gc_full,0.07688230941646615,-0.07688230941646615
Mouse_4T1,ElasticNet,utr3_TA,0.07511846985789201,-0.07511846985789201
Mouse_4T1,ElasticNet,log_utr3,0.07154476785433533,0.07154476785433533
Mouse_4T1,ElasticNet,codon_AAG,0.06803131941700827,0.06803131941700827
Mouse_4T1,ElasticNet,utr3_G,0.05504896030137938,-0.05504896030137938
Mouse_4T1,ElasticNet,utr3_GC,0.0547819814160421,0.0547819814160421
Mouse_4T1,ElasticNet,codon_GCC,0.050427432199714455,0.050427432199714455
Mouse_4T1,ElasticNet,utr3_CT,0.04972423787252392,-0.04972423787252392
Mouse_4T1,ElasticNet,cds_CG,0.046835285815060704,0.046835285815060704
Mouse_4T1,ElasticNet,codon_GGC,0.04513993693252922,0.04513993693252922
Mouse_4T1,ElasticNet,utr3_AC,0.04412170757907528,0.04412170757907528
Mouse_4T1,ElasticNet,uAUG_count,0.0426353028971482,-0.0426353028971482
Mouse_4T1,ElasticNet,utr5_TC,0.04258934885362071,0.04258934885362071
Mouse_4T1,ElasticNet,codon_AGT,0.04173988844299571,-0.04173988844299571
Mouse_4T1,ElasticNet,codon_GGT,0.039466774514336694,0.039466774514336694
Mouse_4T1,ElasticNet,codon_TTA,0.03762102349117398,-0.03762102349117398
Mouse_4T1,ElasticNet,utr5_AG,0.036132162031199795,0.036132162031199795
Mouse_4T1,ElasticNet,utr3_TT,0.03585071733309586,0.03585071733309586
Mouse_4T1,ElasticNet,codon_ACC,0.035571112602365416,0.035571112602365416
Mouse_4T1,ElasticNet,utr3_TC,0.034213115586493724,0.034213115586493724
Mouse_4T1,ElasticNet,utr5_CG,0.03399010944884844,0.03399010944884844
Mouse_4T1,ElasticNet,cds_C,0.033713167197872505,0.033713167197872505
Mouse_4T1,ElasticNet,cds_AT,0.03217774660495867,0.03217774660495867
Mouse_4T1,ElasticNet,codon_AAC,0.028165997943573717,0.028165997943573717
Mouse_4T1,ElasticNet,codon_GTG,0.02776423406540514,-0.02776423406540514
Mouse_4T1,ElasticNet,codon_TGT,0.027568040684645984,-0.027568040684645984
Mouse_4T1,ElasticNet,codon_CCC,0.026524657960599066,0.026524657960599066
Mouse_4T1,ElasticNet,codon_CAT,0.026508779394119945,-0.026508779394119945
Mouse_4T1,ElasticNet,cds_TG,0.02593135242405448,0.02593135242405448
Mouse_4T1,ElasticNet,codon_GCT,0.02588073109937343,0.02588073109937343
Mouse_4T1,ElasticNet,cds_CA,0.025824973371853282,0.025824973371853282
Mouse_4T1,ElasticNet,codon_CGC,0.025242183683800334,0.025242183683800334
Mouse_4T1,ElasticNet,codon_TTT,0.023455699061148912,-0.023455699061148912
Mouse_4T1,ElasticNet,codon_ATA,0.023110769541027004,-0.023110769541027004
Mouse_4T1,ElasticNet,codon_CCT,0.023090409796848486,0.023090409796848486
Mouse_4T1,ElasticNet,codon_CTA,0.02308160072252244,-0.02308160072252244
Mouse_4T1,ElasticNet,codon_TCA,0.02211419492581694,-0.02211419492581694
Mouse_4T1,ElasticNet,codon_TCC,0.02199749190358351,0.02199749190358351
Mouse_4T1,ElasticNet,codon_CAC,0.021777981391582782,-0.021777981391582782
Mouse_4T1,ElasticNet,codon_CGG,0.021381076129616296,-0.021381076129616296
Mouse_4T1,ElasticNet,utr5_GG,0.020389215753038595,-0.020389215753038595
