dataset,model,feature,importance,signed_coef
Mouse_4T1,Lasso,log_cds,0.2685068632563853,0.2685068632563853
Mouse_4T1,Lasso,log_utr3,0.13964629886722238,0.13964629886722238
Mouse_4T1,Lasso,gc_full,0.09411873100765812,-0.09411873100765812
Mouse_4T1,Lasso,codon_AAG,0.06887672291236235,0.06887672291236235
Mouse_4T1,Lasso,utr3_TA,0.06798007081493167,-0.06798007081493167
Mouse_4T1,Lasso,utr3_G,0.06029378310294439,-0.06029378310294439
Mouse_4T1,Lasso,codon_GCC,0.05598198980843631,0.05598198980843631
Mouse_4T1,Lasso,utr3_CA,0.05516901815728267,-0.05516901815728267
Mouse_4T1,Lasso,codon_GGC,0.051279759025880965,0.051279759025880965
Mouse_4T1,Lasso,codon_AGT,0.048203763544700025,-0.048203763544700025
Mouse_4T1,Lasso,codon_TTA,0.04795588842353584,-0.04795588842353584
Mouse_4T1,Lasso,codon_ACC,0.04204245856270525,0.04204245856270525
Mouse_4T1,Lasso,codon_GGT,0.04201025287898815,0.04201025287898815
Mouse_4T1,Lasso,utr5_TC,0.03947216483832906,0.03947216483832906
Mouse_4T1,Lasso,cds_G,0.03916090930157048,-0.03916090930157048
Mouse_4T1,Lasso,codon_TTT,0.03816230214080587,-0.03816230214080587
Mouse_4T1,Lasso,uAUG_count,0.03603676265118479,-0.03603676265118479
Mouse_4T1,Lasso,cds_CG,0.03573919223973743,0.03573919223973743
Mouse_4T1,Lasso,utr5_AG,0.03431779092254425,0.03431779092254425
Mouse_4T1,Lasso,utr5_CG,0.032592499407548665,0.032592499407548665
Mouse_4T1,Lasso,codon_CGC,0.03247828199081621,0.03247828199081621
Mouse_4T1,Lasso,codon_ATA,0.03216462489474593,-0.03216462489474593
Mouse_4T1,Lasso,utr3_CT,0.03079950990251181,-0.03079950990251181
Mouse_4T1,Lasso,codon_TGT,0.030796825942029493,-0.030796825942029493
Mouse_4T1,Lasso,cds_AT,0.030733759734342808,0.030733759734342808
Mouse_4T1,Lasso,codon_CAT,0.02917667828167753,-0.02917667828167753
Mouse_4T1,Lasso,codon_CCC,0.02916379008973426,0.02916379008973426
Mouse_4T1,Lasso,utr3_GC,0.029118544528045215,0.029118544528045215
Mouse_4T1,Lasso,codon_CTA,0.027094213337057662,-0.027094213337057662
Mouse_4T1,Lasso,codon_TCA,0.026991496854711087,-0.026991496854711087
Mouse_4T1,Lasso,codon_GTG,0.02581885783294215,-0.02581885783294215
Mouse_4T1,Lasso,codon_CCT,0.02530217903247933,0.02530217903247933
Mouse_4T1,Lasso,codon_AAC,0.024031473827970648,0.024031473827970648
Mouse_4T1,Lasso,codon_GCT,0.02338799657697073,0.02338799657697073
Mouse_4T1,Lasso,utr5_GG,0.022899402984808224,-0.022899402984808224
Mouse_4T1,Lasso,utr3_TT,0.022358471695855055,0.022358471695855055
