gene	length_nt	header
Rpl7	813	lcl|NC_000067.7_cds_NP_035421.2_298 [gene=Rpl7] [db_xref=CCDS:CCDS14829.1,GeneID:19989] [protein=large ribosomal subunit protein uL30] [protein_id=NP_035421.2] [location=complement(join(16171952..16172160,16172714..16172823,16172916..16173053,16173392..16173558,16173734..16173908,16174589..16174602))] [gbkey=CDS]
Rpl31	378	lcl|NC_000067.7_cds_NP_444487.1_907 [gene=Rpl31] [db_xref=CCDS:CCDS14904.1,GeneID:114641] [protein=large ribosomal subunit protein eL31] [protein_id=NP_444487.1] [location=join(39407230..39407336,39409095..39409220,39410035..39410147,39410383..39410414)] [gbkey=CDS]
Rpl31	378	lcl|NC_000067.7_cds_NP_001239147.1_908 [gene=Rpl31] [db_xref=CCDS:CCDS14904.1,GeneID:114641] [protein=large ribosomal subunit protein eL31] [protein_id=NP_001239147.1] [location=join(39407230..39407336,39409095..39409220,39410035..39410147,39410383..39410414)] [gbkey=CDS]
Rpl31	378	lcl|NC_000067.7_cds_NP_001239148.1_909 [gene=Rpl31] [db_xref=CCDS:CCDS14904.1,GeneID:114641] [protein=large ribosomal subunit protein eL31] [protein_id=NP_001239148.1] [location=join(39407230..39407336,39409095..39409220,39410035..39410147,39410383..39410414)] [gbkey=CDS]
Rpl37a	279	lcl|NC_000067.7_cds_NP_033110.1_1988 [gene=Rpl37a] [db_xref=CCDS:CCDS35610.1,GeneID:19981] [protein=large ribosomal subunit protein eL43] [protein_id=NP_033110.1] [location=join(72750480..72750482,72750831..72750959,72751301..72751383,72752661..72752724)] [gbkey=CDS]
Rps6kc1	3135	lcl|NC_000067.7_cds_XP_006497235.1_5961 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1 isoform X1] [protein_id=XP_006497235.1] [location=complement(join(190505790..190505900,190514732..190514827,190515761..190515843,190530849..190530938,190531210..190532778,190541080..190541212,190542271..190542318,190566203..190566295,190576684..190576799,190603789..190604148,190617531..190617624,190620846..190620961,190631648..190631768,190643753..190643857))] [gbkey=CDS]
Rps6kc1	2811	lcl|NC_000067.7_cds_XP_006497238.1_5962 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1 isoform X4] [protein_id=XP_006497238.1] [location=complement(join(190505790..190505900,190514732..190514827,190515761..190515843,190530849..190530938,190531210..190532778,190541080..190541212,190542271..190542318,190566203..190566295,190576684..190576799,190617531..190617624,190620846..190620961,190631648..190631768,190637280..190637315,190643753..190643857))] [gbkey=CDS]
Rps6kc1	3078	lcl|NC_000067.7_cds_XP_006497236.1_5963 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1 isoform X2] [protein_id=XP_006497236.1] [location=complement(join(190505790..190505900,190514732..190514827,190515761..190515843,190530849..190530938,190531210..190532778,190541080..190541212,190542271..190542318,190576684..190576799,190603789..190604148,190617531..190617624,190620846..190620961,190631648..190631768,190637280..190637315,190643753..190643857))] [gbkey=CDS]
Rps6kc1	3171	lcl|NC_000067.7_cds_NP_848890.3_5964 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1] [protein_id=NP_848890.3] [location=complement(join(190505790..190505900,190514732..190514827,190515761..190515843,190530849..190530938,190531210..190532778,190541080..190541212,190542271..190542318,190566203..190566295,190576684..190576799,190603789..190604148,190617531..190617624,190620846..190620961,190631648..190631768,190637280..190637315,190643753..190643857))] [gbkey=CDS]
Rps6kc1	2535	lcl|NC_000067.7_cds_XP_030110822.1_5965 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1 isoform X6] [protein_id=XP_030110822.1] [location=complement(join(190505790..190505900,190514732..190514827,190515761..190515843,190530849..190530938,190531210..190532778,190541080..190541212,190542271..190542318,190576684..190576799,190603789..190604077))] [gbkey=CDS]
Rps6kc1	2628	lcl|NC_000067.7_cds_XP_030110821.1_5966 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1 isoform X5] [protein_id=XP_030110821.1] [location=complement(join(190505790..190505900,190514732..190514827,190515761..190515843,190530849..190530938,190531210..190532778,190541080..190541212,190542271..190542318,190566203..190566295,190576684..190576799,190603789..190604077))] [gbkey=CDS]
Rps6kc1	2628	lcl|NC_000067.7_cds_XP_036021590.1_5967 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1 isoform X5] [protein_id=XP_036021590.1] [location=complement(join(190505790..190505900,190514732..190514827,190515761..190515843,190530849..190530938,190531210..190532778,190541080..190541212,190542271..190542318,190566203..190566295,190576684..190576799,190603789..190604077))] [gbkey=CDS]
Rps6kc1	2628	lcl|NC_000067.7_cds_XP_011237223.1_5968 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1 isoform X5] [protein_id=XP_011237223.1] [location=complement(join(190505790..190505900,190514732..190514827,190515761..190515843,190530849..190530938,190531210..190532778,190541080..190541212,190542271..190542318,190566203..190566295,190576684..190576799,190603789..190604077))] [gbkey=CDS]
Rps6kc1	1866	lcl|NC_000067.7_cds_XP_036021591.1_5969 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1 isoform X7] [protein_id=XP_036021591.1] [location=complement(join(190505790..190505900,190514732..190514827,190515761..190515843,190530849..190530938,190531210..190532695))] [gbkey=CDS]
Rps6kc1	2934	lcl|NC_000067.7_cds_XP_006497237.1_5970 [gene=Rps6kc1] [db_xref=GeneID:320119] [protein=ribosomal protein S6 kinase delta-1 isoform X3] [protein_id=XP_006497237.1] [location=complement(join(190505848..190505900,190530849..190530938,190531210..190532778,190541080..190541212,190542271..190542318,190566203..190566295,190576684..190576799,190603789..190604148,190617531..190617624,190620846..190620961,190631648..190631768,190637280..190637315,190643753..190643857))] [gbkey=CDS]
Rpl7a	801	lcl|NC_000068.8_cds_NP_038749.1_7418 [gene=Rpl7a] [db_xref=CCDS:CCDS15815.1,GeneID:27176] [protein=large ribosomal subunit protein eL8] [protein_id=NP_038749.1] [location=join(26800840..26800842,26801018..26801138,26801434..26801583,26802031..26802171,26802378..26802457,26802683..26802813,26803000..26803069,26803177..26803281)] [gbkey=CDS]
Rpl7a	630	lcl|NC_000068.8_cds_XP_017174412.1_7419 [gene=Rpl7a] [db_xref=GeneID:27176] [protein=large ribosomal subunit protein eL8 isoform X1] [protein_id=XP_017174412.1] [location=join(26800840..26800842,26801018..26801138,26801434..26801583,26802031..26802171,26802378..26802457,26802683..26802817)] [gbkey=CDS]
Rpl12	498	lcl|NC_000068.8_cds_NP_033102.2_8111 [gene=Rpl12] [db_xref=CCDS:CCDS15936.1,GeneID:269261] [protein=large ribosomal subunit protein uL11] [protein_id=NP_033102.2] [location=join(32851815..32851851,32852061..32852134,32852586..32852684,32852997..32853078,32853509..32853595,32853753..32853865,32854003..32854008)] [gbkey=CDS]
Rpl35	372	lcl|NC_000068.8_cds_NP_079868.1_8550 [gene=Rpl35] [db_xref=CCDS:CCDS16015.1,GeneID:66489] [protein=large ribosomal subunit protein uL29] [protein_id=NP_079868.1] [location=complement(join(38891628..38891777,38894119..38894200,38894744..38894880,38895096..38895098))] [gbkey=CDS]
Rps12-ps10	399	lcl|NC_000068.8_cds_XP_036018677.1_11456 [gene=Rps12-ps10] [db_xref=GeneID:670832] [protein=40S ribosomal protein S12-like] [protein_id=XP_036018677.1] [location=122050474..122050872] [gbkey=CDS]
Rps21	252	lcl|NC_000068.8_cds_NP_001342450.1_14246 [gene=Rps21] [db_xref=CCDS:CCDS38376.1,GeneID:66481] [protein=small ribosomal subunit protein eS21] [protein_id=NP_001342450.1] [location=join(179899427..179899476,179899581..179899644,179899779..179899850,179900023..179900078,179900171..179900180)] [gbkey=CDS]
Rps21	252	lcl|NC_000068.8_cds_NP_001342445.1_14247 [gene=Rps21] [db_xref=CCDS:CCDS38376.1,GeneID:66481] [protein=small ribosomal subunit protein eS21] [protein_id=NP_001342445.1] [location=join(179899427..179899476,179899581..179899644,179899779..179899850,179900023..179900078,179900171..179900180)] [gbkey=CDS]
Rps21	252	lcl|NC_000068.8_cds_NP_001342449.1_14248 [gene=Rps21] [db_xref=CCDS:CCDS38376.1,GeneID:66481] [protein=small ribosomal subunit protein eS21] [protein_id=NP_001342449.1] [location=join(179899427..179899476,179899581..179899644,179899779..179899850,179900023..179900078,179900171..179900180)] [gbkey=CDS]
Rps21	252	lcl|NC_000068.8_cds_NP_001342447.1_14249 [gene=Rps21] [db_xref=CCDS:CCDS38376.1,GeneID:66481] [protein=small ribosomal subunit protein eS21] [protein_id=NP_001342447.1] [location=join(179899427..179899476,179899581..179899644,179899779..179899850,179900023..179900078,179900171..179900180)] [gbkey=CDS]
Rps21	252	lcl|NC_000068.8_cds_NP_001342446.1_14250 [gene=Rps21] [db_xref=CCDS:CCDS38376.1,GeneID:66481] [protein=small ribosomal subunit protein eS21] [protein_id=NP_001342446.1] [location=join(179899427..179899476,179899581..179899644,179899779..179899850,179900023..179900078,179900171..179900180)] [gbkey=CDS]
Rps21	252	lcl|NC_000068.8_cds_NP_079863.1_14251 [gene=Rps21] [db_xref=CCDS:CCDS38376.1,GeneID:66481] [protein=small ribosomal subunit protein eS21] [protein_id=NP_079863.1] [location=join(179899427..179899476,179899581..179899644,179899779..179899850,179900023..179900078,179900171..179900180)] [gbkey=CDS]
