gene	length_nt	header
RPL22	387	lcl|NC_000001.11_cds_NP_000974.1_588 [gene=RPL22] [db_xref=CCDS:CCDS58.1,Ensembl:ENSP00000346088.3,GeneID:6146] [protein=large ribosomal subunit protein eL22] [protein_id=NP_000974.1] [location=complement(join(6186672..6186816,6192930..6193054,6197652..6197756,6199562..6199573))] [gbkey=CDS]
RPL11	537	lcl|NC_000001.11_cds_NP_000966.2_2096 [gene=RPL11] [db_xref=CCDS:CCDS238.1,Ensembl:ENSP00000496250.1,GeneID:6135] [protein=large ribosomal subunit protein uL5 isoform 1] [protein_id=NP_000966.2] [location=join(23691824..23691829,23692609..23692759,23693807..23693913,23694660..23694791,23695798..23695908,23696344..23696373)] [gbkey=CDS]
RPL11	534	lcl|NC_000001.11_cds_NP_001186731.1_2097 [gene=RPL11] [db_xref=CCDS:CCDS85940.1,GeneID:6135] [protein=large ribosomal subunit protein uL5 isoform 2] [protein_id=NP_001186731.1] [location=join(23691824..23691829,23692612..23692759,23693807..23693913,23694660..23694791,23695798..23695908,23696344..23696373)] [gbkey=CDS]
RPS6KA1	2208	lcl|NC_000001.11_cds_NP_002944.2_2391 [gene=RPS6KA1] [db_xref=CCDS:CCDS284.1,Ensembl:ENSP00000363283.2,GeneID:6195] [protein=ribosomal protein S6 kinase alpha-1 isoform a] [protein_id=NP_002944.2] [location=join(26529921..26529983,26536925..26536969,26546867..26546983,26547189..26547270,26551397..26551477,26551644..26551723,26553391..26553497,26554214..26554251,26554596..26554738,26555151..26555221,26555537..26555625,26556654..26556718,26556998..26557100,26558807..26558937,26560726..26560851,26561045..26561134,26561505..26561663,26571449..26571610,26571849..26571925,26572176..26572293,26573224..26573361,26574079..26574201)] [gbkey=CDS]
RPS6KA1	2160	lcl|NC_000001.11_cds_NP_001317370.1_2392 [gene=RPS6KA1] [db_xref=CCDS:CCDS81286.1,GeneID:6195] [protein=ribosomal protein S6 kinase alpha-1 isoform c] [protein_id=NP_001317370.1] [location=join(26543162..26543221,26546867..26546983,26547189..26547270,26551397..26551477,26551644..26551723,26553391..26553497,26554214..26554251,26554596..26554738,26555151..26555221,26555537..26555625,26556654..26556718,26556998..26557100,26558807..26558937,26560726..26560851,26561045..26561134,26561505..26561663,26571449..26571610,26571849..26571925,26572176..26572293,26573224..26573361,26574079..26574201)] [gbkey=CDS]
RPS6KA1	2235	lcl|NC_000001.11_cds_NP_001006666.1_2393 [gene=RPS6KA1] [db_xref=CCDS:CCDS30649.1,GeneID:6195] [protein=ribosomal protein S6 kinase alpha-1 isoform b] [protein_id=NP_001006666.1] [location=join(26545901..26546035,26546867..26546983,26547189..26547270,26551397..26551477,26551644..26551723,26553391..26553497,26554214..26554251,26554596..26554738,26555151..26555221,26555537..26555625,26556654..26556718,26556998..26557100,26558807..26558937,26560726..26560851,26561045..26561134,26561505..26561663,26571449..26571610,26571849..26571925,26572176..26572293,26573224..26573361,26574079..26574201)] [gbkey=CDS]
RPS6KA1	1755	lcl|NC_000001.11_cds_XP_047283214.1_2394 [gene=RPS6KA1] [db_xref=GeneID:6195] [protein=ribosomal protein S6 kinase alpha-1 isoform X1] [protein_id=XP_047283214.1] [location=join(26545901..26546035,26546867..26546983,26547189..26547270,26551397..26551477,26551644..26551723,26553391..26553497,26554214..26554251,26554596..26554738,26555151..26555221,26555537..26555625,26556654..26556718,26556998..26557100,26558807..26558937,26560726..26560851,26561045..26561134,26561505..26561663,26565347..26565484)] [gbkey=CDS]
RPS6KA1	1932	lcl|NC_000001.11_cds_XP_024304639.1_2395 [gene=RPS6KA1] [db_xref=GeneID:6195] [protein=ribosomal protein S6 kinase alpha-1 isoform X2] [protein_id=XP_024304639.1] [location=join(26547240..26547270,26551397..26551477,26551644..26551723,26553391..26553497,26554214..26554251,26554596..26554738,26555151..26555221,26555537..26555625,26556654..26556718,26556998..26557100,26558807..26558937,26560726..26560851,26561045..26561134,26561505..26561663,26571449..26571610,26571849..26571925,26572176..26572293,26573224..26573361,26574079..26574201)] [gbkey=CDS]
RPS8	627	lcl|NC_000001.11_cds_NP_001003.1_3929 [gene=RPS8] [db_xref=CCDS:CCDS513.1,Ensembl:ENSP00000379888.3,GeneID:6202] [protein=small ribosomal subunit protein eS8] [protein_id=NP_001003.1] [location=join(44775597..44775600,44776034..44776140,44776675..44776774,44777614..44777789,44778000..44778129,44778576..44778685)] [gbkey=CDS]
RPL5	894	lcl|NC_000001.11_cds_NP_000960.2_5940 [gene=RPL5] [db_xref=CCDS:CCDS741.1,Ensembl:ENSP00000359345.2,GeneID:6125] [protein=large ribosomal subunit protein uL18] [protein_id=NP_000960.2] [location=join(92832115..92832117,92833389..92833458,92833545..92833660,92834779..92834913,92836190..92836392,92837456..92837633,92840551..92840639,92841766..92841865)] [gbkey=CDS]
RPS27	255	lcl|NC_000001.11_cds_NP_001021.1_8089 [gene=RPS27] [db_xref=CCDS:CCDS1059.1,Ensembl:ENSP00000499044.1,GeneID:6232] [protein=small ribosomal subunit protein eS27 isoform 1] [protein_id=NP_001021.1] [location=join(153990797..153990802,153991115..153991223,153991566..153991676,153992065..153992093)] [gbkey=CDS]
RPS27	159	lcl|NC_000001.11_cds_NP_001336876.1_8090 [gene=RPS27] [db_xref=GeneID:6232] [protein=small ribosomal subunit protein eS27 isoform 2] [protein_id=NP_001336876.1] [location=join(153991205..153991223,153991566..153991676,153992065..153992093)] [gbkey=CDS]
RPS27	159	lcl|NC_000001.11_cds_NP_001336875.1_8091 [gene=RPS27] [db_xref=GeneID:6232] [protein=small ribosomal subunit protein eS27 isoform 2] [protein_id=NP_001336875.1] [location=join(153991205..153991223,153991566..153991676,153992065..153992093)] [gbkey=CDS]
RPS6KC1	3003	lcl|NC_000001.11_cds_XP_047273892.1_11530 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform X5] [protein_id=XP_047273892.1] [location=join(213051405..213051509,213071006..213071041,213077696..213077816,213104454..213104569,213117317..213117410,213129527..213129889,213167858..213167973,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213378733..213378738)] [gbkey=CDS]
RPS6KC1	3201	lcl|NC_000001.11_cds_NP_036556.2_11531 [gene=RPS6KC1] [db_xref=CCDS:CCDS1513.1,Ensembl:ENSP00000355927.3,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform a] [protein_id=NP_036556.2] [location=join(213051405..213051509,213071006..213071041,213077696..213077816,213104454..213104569,213117317..213117410,213129527..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	3108	lcl|NC_000001.11_cds_NP_001336575.1_11532 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform f] [protein_id=NP_001336575.1] [location=join(213051405..213051509,213071006..213071041,213077696..213077816,213104454..213104569,213117317..213117410,213129527..213129889,213167858..213167973,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2838	lcl|NC_000001.11_cds_NP_001336576.1_11533 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform g] [protein_id=NP_001336576.1] [location=join(213051405..213051509,213071006..213071041,213077696..213077816,213104454..213104569,213117317..213117410,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2745	lcl|NC_000001.11_cds_XP_047273896.1_11534 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform X7] [protein_id=XP_047273896.1] [location=join(213051405..213051509,213071006..213071041,213077696..213077816,213104454..213104569,213117317..213117410,213167858..213167973,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	3165	lcl|NC_000001.11_cds_NP_001129610.1_11535 [gene=RPS6KC1] [db_xref=CCDS:CCDS44317.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform b] [protein_id=NP_001129610.1] [location=join(213051405..213051509,213077696..213077816,213104454..213104569,213117317..213117410,213129527..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	3072	lcl|NC_000001.11_cds_XP_047273889.1_11536 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform X4] [protein_id=XP_047273889.1] [location=join(213051405..213051509,213077696..213077816,213104454..213104569,213117317..213117410,213129527..213129889,213167858..213167973,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2802	lcl|NC_000001.11_cds_XP_047273895.1_11537 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform X6] [protein_id=XP_047273895.1] [location=join(213051405..213051509,213077696..213077816,213104454..213104569,213117317..213117410,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2709	lcl|NC_000001.11_cds_XP_047273901.1_11538 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform X8] [protein_id=XP_047273901.1] [location=join(213051405..213051509,213077696..213077816,213104454..213104569,213117317..213117410,213167858..213167973,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
